CódigoInstit;Código Curso;NomedaInstituição
0602;9818;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9841;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9847;Universidade de Évora - Escola de Ciências e Tecnologia
0602;9910;Universidade de Évora - Escola de Ciências e Tecnologia
0602;L090;Universidade de Évora - Escola de Ciências e Tecnologia
0603;9069;Universidade de Évora - Escola de Artes
0603;9243;Universidade de Évora - Escola de Artes
0603;9257;Universidade de Évora - Escola de Artes
0603;9347;Universidade de Évora - Escola de Artes
0604;8251;Universidade de Évora - Escola de Ciências Sociais
0604;9026;Universidade de Évora - Escola de Ciências Sociais
0604;9081;Universidade de Évora - Escola de Ciências Sociais
0604;9147;Universidade de Évora - Escola de Ciências Sociais
0604;9219;Universidade de Évora - Escola de Ciências Sociais
0604;9229;Universidade de Évora - Escola de Ciências Sociais
0604;9240;Universidade de Évora - Escola de Ciências Sociais
0604;9254;Universidade de Évora - Escola de Ciências Sociais
0604;9787;Universidade de Évora - Escola de Ciências Sociais
0604;9853;Universidade de Évora - Escola de Ciências Sociais
0604;L047;Universidade de Évora - Escola de Ciências Sociais
0901;9554;Universidade Nova de Lisboa - Faculdade de Ciências Médicas
0901;9813;Universidade Nova de Lisboa - Faculdade de Ciências Médicas
0902;8109;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9006;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9020;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9023;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9040;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9046;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9139;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9145;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9181;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9182;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9204;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9240;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9252;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9448;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0902;9917;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas
0903;8036;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;8334;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9015;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9116;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9209;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9224;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9348;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9359;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9360;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9363;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9367;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9368;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9369;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9370;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9508;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;9509;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;G005;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0903;L167;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia
0904;9081;Universidade Nova de Lisboa - Faculdade de Economia
0904;9147;Universidade Nova de Lisboa - Faculdade de Economia
0906;8259;Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação
0906;9155;Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação
0911;9078;Universidade Nova de Lisboa - Faculdade de Direito
1000;8005;Universidade do Minho
1000;8183;Universidade do Minho
1000;8184;Universidade do Minho
1000;8358;Universidade do Minho
1000;8427;Universidade do Minho
1000;8433;Universidade do Minho
1000;8494;Universidade do Minho
1000;9002;Universidade do Minho
1000;9006;Universidade do Minho
1000;9012;Universidade do Minho
1000;9015;Universidade do Minho
1000;9019;Universidade do Minho
1000;9023;Universidade do Minho
1000;9078;Universidade do Minho
1000;9081;Universidade do Minho
1000;9134;Universidade do Minho
1000;9138;Universidade do Minho
1000;9139;Universidade do Minho
1000;9141;Universidade do Minho
1000;9146;Universidade do Minho
1000;9147;Universidade do Minho
1000;9181;Universidade do Minho
1000;9192;Universidade do Minho
1000;9195;Universidade do Minho
1000;9209;Universidade do Minho
1000;9223;Universidade do Minho
1000;9229;Universidade do Minho
1000;9240;Universidade do Minho
1000;9243;Universidade do Minho
1000;9257;Universidade do Minho
1000;9353;Universidade do Minho
1000;9358;Universidade do Minho
1000;9359;Universidade do Minho
1000;9360;Universidade do Minho
1000;9363;Universidade do Minho
1000;9364;Universidade do Minho
1000;9366;Universidade do Minho
1000;9368;Universidade do Minho
1000;9369;Universidade do Minho
1000;9371;Universidade do Minho
1000;9379;Universidade do Minho
1000;9381;Universidade do Minho
1000;9397;Universidade do Minho
1000;9499;Universidade do Minho
1000;9509;Universidade do Minho
1000;9555;Universidade do Minho
1000;9688;Universidade do Minho
1000;9813;Universidade do Minho
1000;9817;Universidade do Minho
1000;9853;Universidade do Minho
1000;9869;Universidade do Minho
1000;G001;Universidade do Minho
1000;G002;Universidade do Minho
1000;G005;Universidade do Minho
1000;G007;Universidade do Minho
1000;L078;Universidade do Minho
1000;L112;Universidade do Minho
1000;L147;Universidade do Minho
1101;9554;Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação
1102;9257;Universidade do Porto - Faculdade de Arquitetura
1103;8258;Universidade do Porto - Faculdade de Ciências
1103;9011;Universidade do Porto - Faculdade de Ciências
1103;9015;Universidade do Porto - Faculdade de Ciências
1103;9141;Universidade do Porto - Faculdade de Ciências
