Código Instit.;Código Curso;Nome da Instituição;Nome do Curso
501;9891;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Design e Multimédia
502;8067;Universidade de Coimbra - Faculdade de Direito;Administração Público-Privada
502;9078;Universidade de Coimbra - Faculdade de Direito;Direito
503;9081;Universidade de Coimbra - Faculdade de Economia;Economia
503;9147;Universidade de Coimbra - Faculdade de Economia;Gestão
503;9229;Universidade de Coimbra - Faculdade de Economia;Relações Internacionais
503;9240;Universidade de Coimbra - Faculdade de Economia;Sociologia
504;9494;Universidade de Coimbra - Faculdade de Farmácia;Ciências Farmacêuticas
504;9819;Universidade de Coimbra - Faculdade de Farmácia;Ciências Bioanalíticas
504;9832;Universidade de Coimbra - Faculdade de Farmácia;Farmácia Biomédica
505;8393;Universidade de Coimbra - Faculdade de Letras;Português
505;9006;Universidade de Coimbra - Faculdade de Letras;Arqueologia
505;9132;Universidade de Coimbra - Faculdade de Letras;Estudos Artísticos
505;9133;Universidade de Coimbra - Faculdade de Letras;Estudos Clássicos
505;9135;Universidade de Coimbra - Faculdade de Letras;Estudos Europeus
505;9139;Universidade de Coimbra - Faculdade de Letras;Filosofia
505;9143;Universidade de Coimbra - Faculdade de Letras;Geografia
505;9181;Universidade de Coimbra - Faculdade de Letras;História
505;9182;Universidade de Coimbra - Faculdade de Letras;História da Arte
505;9694;Universidade de Coimbra - Faculdade de Letras;Ciência da Informação
505;9773;Universidade de Coimbra - Faculdade de Letras;Jornalismo e Comunicação
505;9779;Universidade de Coimbra - Faculdade de Letras;Línguas Modernas
505;L109;Universidade de Coimbra - Faculdade de Letras;Turismo, Território e Patrimónios
506;9548;Universidade de Coimbra - Faculdade de Medicina;Medicina Dentária
506;9813;Universidade de Coimbra - Faculdade de Medicina;Medicina
507;9026;Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação;Ciências da Educação
507;9238;Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação;Serviço Social
507;9555;Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação;Psicologia
508;8368;Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física;Ciências do Desporto (regime pós-laboral)
508;9707;Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física;Ciências do Desporto
602;8262;Universidade de Évora - Escola de Ciências e Tecnologia;Biologia Humana
602;9003;Universidade de Évora - Escola de Ciências e Tecnologia;Agronomia
602;9011;Universidade de Évora - Escola de Ciências e Tecnologia;Biologia
602;9015;Universidade de Évora - Escola de Ciências e Tecnologia;Bioquímica
602;9016;Universidade de Évora - Escola de Ciências e Tecnologia;Biotecnologia
602;9119;Universidade de Évora - Escola de Ciências e Tecnologia;Engenharia Informática
602;9143;Universidade de Évora - Escola de Ciências e Tecnologia;Geografia
602;9146;Universidade de Évora - Escola de Ciências e Tecnologia;Geologia
602;9210;Universidade de Évora - Escola de Ciências e Tecnologia;Matemática Aplicada à Economia e à Gestão
602;9707;Universidade de Évora - Escola de Ciências e Tecnologia;Ciências do Desporto
602;9751;Universidade de Évora - Escola de Ciências e Tecnologia;Engenharia Mecatrónica
602;9752;Universidade de Évora - Escola de Ciências e Tecnologia;Enologia
602;9818;Universidade de Évora - Escola de Ciências e Tecnologia;Ciência e Tecnologia Animal
602;9841;Universidade de Évora - Escola de Ciências e Tecnologia;Reabilitação Psicomotora
602;9847;Universidade de Évora - Escola de Ciências e Tecnologia;Medicina Veterinária
602;9910;Universidade de Évora - Escola de Ciências e Tecnologia;Engenharia de Energias Renováveis
602;L090;Universidade de Évora - Escola de Ciências e Tecnologia;Ecologia e Ambiente
603;9069;Universidade de Évora - Escola de Artes;Design
603;9243;Universidade de Évora - Escola de Artes;Teatro
603;9257;Universidade de Évora - Escola de Artes;Arquitetura
603;9347;Universidade de Évora - Escola de Artes;Artes Plásticas e Multimédia
604;8251;Universidade de Évora - Escola de Ciências Sociais;História e Arqueologia
604;9026;Universidade de Évora - Escola de Ciências Sociais;Ciências da Educação
604;9081;Universidade de Évora - Escola de Ciências Sociais;Economia
604;9147;Universidade de Évora - Escola de Ciências Sociais;Gestão
604;9219;Universidade de Évora - Escola de Ciências Sociais;Psicologia
604;9229;Universidade de Évora - Escola de Ciências Sociais;Relações Internacionais
604;9240;Universidade de Évora - Escola de Ciências Sociais;Sociologia
604;9254;Universidade de Évora - Escola de Ciências Sociais;Turismo
604;9787;Universidade de Évora - Escola de Ciências Sociais;Património Cultural
604;9853;Universidade de Évora - Escola de Ciências Sociais;Educação Básica
604;L047;Universidade de Évora - Escola de Ciências Sociais;Línguas e Literaturas
901;9554;Universidade Nova de Lisboa - Faculdade de Ciências Médicas;Ciências da Nutrição
901;9813;Universidade Nova de Lisboa - Faculdade de Ciências Médicas;Medicina
902;8109;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Sociologia (regime pós-laboral)
902;9006;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Arqueologia
902;9020;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Ciência Política e Relações Internacionais
902;9023;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Ciências da Comunicação
902;9040;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Ciências da Linguagem
902;9046;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Ciências Musicais
902;9139;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Filosofia
902;9145;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Geografia e Planeamento Regional
902;9181;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;História
902;9182;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;História da Arte
902;9204;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Línguas, Literaturas e Culturas
902;9240;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Sociologia
902;9252;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Tradução
902;9448;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Antropologia
902;9917;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;Estudos Portugueses
903;8036;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Conservação - Restauro
903;8334;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia de Micro e Nanotecnologias
903;9015;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Bioquímica
903;9116;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Geológica
903;9209;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Matemática
903;9224;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Química Aplicada
903;9348;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Biologia Celular e Molecular
903;9359;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Biomédica
903;9360;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Civil
903;9363;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia de Materiais
903;9367;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Eletrotécnica e de Computadores
903;9368;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Física
903;9369;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Mecânica
903;9370;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Química e Bioquímica
903;9508;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia do Ambiente
903;9509;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia e Gestão Industrial
903;G005;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Engenharia Informática
903;L167;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;Matemática Aplicada à Gestão do Risco
904;9081;Universidade Nova de Lisboa - Faculdade de Economia;Economia
904;9147;Universidade Nova de Lisboa - Faculdade de Economia;Gestão
906;8259;Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação;Sistemas e Tecnologias de Informação
906;9155;Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação;Gestão de Informação
911;9078;Universidade Nova de Lisboa - Faculdade de Direito;Direito
1000;8005;Universidade do Minho;Marketing (regime pós-laboral)
1000;8183;Universidade do Minho;Geografia e Planeamento
1000;8184;Universidade do Minho;Optometria e Ciências da Visão
1000;8358;Universidade do Minho;Direito (regime pós-laboral)
1000;8427;Universidade do Minho;Educação (regime pós-laboral)
1000;8494;Universidade do Minho;Design de Produto
1000;9002;Universidade do Minho;Administração Pública
1000;9006;Universidade do Minho;Arqueologia
1000;9012;Universidade do Minho;Biologia e Geologia
1000;9015;Universidade do Minho;Bioquímica
1000;9019;Universidade do Minho;Ciência Política
1000;9023;Universidade do Minho;Ciências da Comunicação
1000;9078;Universidade do Minho;Direito
1000;9081;Universidade do Minho;Economia
1000;9134;Universidade do Minho;Estudos Culturais
1000;9139;Universidade do Minho;Filosofia
1000;9141;Universidade do Minho;Física
1000;9146;Universidade do Minho;Geologia
1000;9147;Universidade do Minho;Gestão
1000;9181;Universidade do Minho;História
1000;9192;Universidade do Minho;Línguas Aplicadas
1000;9195;Universidade do Minho;Línguas e Literaturas Europeias
1000;9209;Universidade do Minho;Matemática
1000;9223;Universidade do Minho;Química
1000;9229;Universidade do Minho;Relações Internacionais
1000;9240;Universidade do Minho;Sociologia
1000;9243;Universidade do Minho;Teatro
1000;9257;Universidade do Minho;Arquitetura
1000;9353;Universidade do Minho;Educação
1000;9358;Universidade do Minho;Engenharia Biológica
1000;9359;Universidade do Minho;Engenharia Biomédica
1000;9360;Universidade do Minho;Engenharia Civil
1000;9363;Universidade do Minho;Engenharia de Materiais
1000;9364;Universidade do Minho;Engenharia de Polímeros
1000;9366;Universidade do Minho;Engenharia Eletrónica Industrial e Computadores
1000;9368;Universidade do Minho;Engenharia Física
1000;9369;Universidade do Minho;Engenharia Mecânica
1000;9371;Universidade do Minho;Engenharia Têxtil
1000;9379;Universidade do Minho;Ciências do Ambiente
1000;9381;Universidade do Minho;Estatística Aplicada
1000;9397;Universidade do Minho;Ciências da Computação
1000;9499;Universidade do Minho;Design e Marketing de Moda
1000;9509;Universidade do Minho;Engenharia e Gestão Industrial
1000;9555;Universidade do Minho;Psicologia
1000;9688;Universidade do Minho;Biologia Aplicada
1000;9785;Universidade do Minho;Negócios Internacionais
1000;9813;Universidade do Minho;Medicina
1000;9817;Universidade do Minho;Artes Visuais
1000;9853;Universidade do Minho;Educação Básica
1000;9869;Universidade do Minho;Contabilidade (regime pós-laboral)
1000;9917;Universidade do Minho;Estudos Portugueses
1000;G001;Universidade do Minho;Engenharia e Gestão de Sistemas de Informação
1000;G005;Universidade do Minho;Engenharia Informática
1000;G007;Universidade do Minho;Engenharia de Telecomunicações e Informática
1000;L078;Universidade do Minho;Criminologia e Justiça Criminal
1000;L112;Universidade do Minho;Proteção Civil e Gestão do Território
1000;L147;Universidade do Minho;Estudos Orientais: Estudos Chineses e Japoneses
1101;9554;Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação;Ciências da Nutrição
1102;9257;Universidade do Porto - Faculdade de Arquitetura;Arquitetura
1103;8258;Universidade do Porto - Faculdade de Ciências;Arquitetura Paisagista
1103;9011;Universidade do Porto - Faculdade de Ciências;Biologia
1103;9015;Universidade do Porto - Faculdade de Ciências;Bioquímica
1103;9141;Universidade do Porto - Faculdade de Ciências;Física
1103;9146;Universidade do Porto - Faculdade de Ciências;Geologia
1103;9209;Universidade do Porto - Faculdade de Ciências;Matemática
1103;9223;Universidade do Porto - Faculdade de Ciências;Química
1103;9368;Universidade do Porto - Faculdade de Ciências;Engenharia Física
1103;9696;Universidade do Porto - Faculdade de Ciências;Ciência de Computadores
1103;9709;Universidade do Porto - Faculdade de Ciências;Ciências e Tecnologia do Ambiente
1103;9812;Universidade do Porto - Faculdade de Ciências;Engenharia de Redes e Sistemas Informáticos
1103;L096;Universidade do Porto - Faculdade de Ciências;Engenharia Geoespacial
1104;9081;Universidade do Porto - Faculdade de Economia;Economia
1104;9147;Universidade do Porto - Faculdade de Economia;Gestão
1105;9360;Universidade do Porto - Faculdade de Engenharia;Engenharia Civil
1105;9367;Universidade do Porto - Faculdade de Engenharia;Engenharia Eletrotécnica e de Computadores
1105;9369;Universidade do Porto - Faculdade de Engenharia;Engenharia Mecânica
1105;9459;Universidade do Porto - Faculdade de Engenharia;Engenharia Informática e Computação
1105;9460;Universidade do Porto - Faculdade de Engenharia;Engenharia Metalúrgica e de Materiais
1105;9461;Universidade do Porto - Faculdade de Engenharia;Engenharia Química
1105;9493;Universidade do Porto - Faculdade de Engenharia;Bioengenharia
1105;9508;Universidade do Porto - Faculdade de Engenharia;Engenharia do Ambiente
1105;9509;Universidade do Porto - Faculdade de Engenharia;Engenharia e Gestão Industrial
1105;9897;Universidade do Porto - Faculdade de Engenharia;Ciências de Engenharia - Engenharia de Minas e Geoambiente
1106;9494;Universidade do Porto - Faculdade de Farmácia;Ciências Farmacêuticas
1107;9006;Universidade do Porto - Faculdade de Letras;Arqueologia
1107;9040;Universidade do Porto - Faculdade de Letras;Ciências da Linguagem
1107;9139;Universidade do Porto - Faculdade de Letras;Filosofia
1107;9143;Universidade do Porto - Faculdade de Letras;Geografia
1107;9181;Universidade do Porto - Faculdade de Letras;História
1107;9182;Universidade do Porto - Faculdade de Letras;História da Arte
1107;9192;Universidade do Porto - Faculdade de Letras;Línguas Aplicadas
1107;9197;Universidade do Porto - Faculdade de Letras;Línguas e Relações Internacionais
1107;9204;Universidade do Porto - Faculdade de Letras;Línguas, Literaturas e Culturas
1107;9240;Universidade do Porto - Faculdade de Letras;Sociologia
1107;9694;Universidade do Porto - Faculdade de Letras;Ciência da Informação
